Neighborhood_Review,Furnishing,Crime_Rate,Power_Backup,Frequency_of_Powercuts,Property_Area,Habitability_score
4.49,1,0,0,0.0,160,79.73
4.48,1,0,0,0.0,204,90.25
4.13,0,0,0,1.0,318,76.19
3.52,1,0,0,1.0,545,78.28
4.71,1,0,0,0.0,518,71.02
4.17,2,0,0,1.0,888,81.69
2.27,0,2,0,2.0,492,32.34
3.53,0,2,0,0.0,687,41.82
4.17,0,1,0,0.0,385,67.42
4.79,1,0,0,0.0,689,71.28
3.47,0,1,0,0.0,922,36.49
3.21,2,1,0,1.0,735,76.67
1.94,1,3,0,0.0,821,42.66
4.1,2,0,0,1.0,675,77.69
4.71,1,0,0,0.0,828,74.77
3.52,2,0,1,1.0,735,86.49
2.89,1,1,0,1.0,464,58.84
4.15,1,1,1,0.0,971,77.1
4.18,1,1,0,0.0,319,78.09
2.59,0,1,0,2.0,950,45.15
4.07,0,0,0,1.0,874,76.55
4.17,1,1,0,0.0,562,85.27
3.56,1,1,0,1.0,235,81.26
4.14,2,1,0,0.0,172,76.68
4.8,2,0,1,0.0,769,91.65
3.83,1,0,1,1.0,738,75.58
4.74,2,0,0,0.0,221,80.17
4.13,2,0,1,1.0,858,85.11
3.14,1,1,0,0.0,594,71.21
2.91,1,3,0,0.0,296,68.76
4.41,0,0,1,0.0,723,68.99
3.39,1,2,0,0.0,502,58.87
4.8,2,0,0,0.0,293,89.92
3.45,1,2,0,0.0,285,65.02
4.14,1,0,0,0.0,265,82.24
2.23,1,3,0,1.0,872,39.62
4.1,0,0,0,0.0,464,72.02
4.78,1,0,0,0.0,253,71.49
4.16,2,1,0,0.0,640,75.61
4.09,1,0,0,0.0,620,82.12
4.66,1,0,0,0.0,964,90.83
2.77,2,3,0,0.0,914,64.59
3.53,1,1,0,0.0,388,65.43
4.18,1,1,0,0.0,311,84.75
3.85,2,0,1,1.0,482,92.7
3.55,0,1,0,1.0,821,58.48
4.49,0,0,0,0.0,542,75.5
4.15,0,1,1,0.0,751,69.57
4.77,0,0,0,0.0,845,79.55
4.49,2,0,0,0.0,396,81.43
4.72,1,0,0,0.0,621,71.29
4.43,1,0,0,0.0,117,75.34
3.54,2,1,1,1.0,223,81.61
2.61,1,2,0,1.0,516,63.66
4.72,1,0,1,0.0,458,87.39
2.59,1,0,0,2.0,298,62.04
3.18,2,2,1,0.0,984,80.65
4.16,1,1,1,0.0,925,78.11
4.18,2,1,0,0.0,681,77.44
3.22,2,1,0,1.0,841,92.87
4.17,1,1,0,0.0,908,73.67
4.43,1,0,0,0.0,466,92.05
2.6,2,2,1,1.0,917,76.78
1.49,1,2,0,3.0,547,26.83
3.85,1,0,0,0.0,631,83.31
4.46,0,0,1,0.0,713,72.87
3.56,0,1,0,0.0,345,46.66
4.13,0,0,0,1.0,487,75.2
3.87,1,1,1,0.0,362,72.86
4.16,2,1,0,0.0,155,75.26
4.76,0,0,1,0.0,749,73.99
3.37,0,0,0,1.0,164,27.98
3.42,1,1,0,1.0,107,60.27
4.47,1,0,0,0.0,513,83.9
4.13,2,0,0,0.0,548,76.24
3.56,0,0,0,1.0,866,55.21
2.2,2,2,0,1.0,110,70.29
2.91,1,2,0,0.0,606,67.48
3.85,0,1,0,0.0,766,59.25
2.3,1,2,0,2.0,996,65.39
4.46,2,0,1,0.0,362,92.5
4.72,1,0,1,0.0,762,85.42
3.22,1,1,0,1.0,797,75.2
2.28,1,3,1,0.0,616,80.38
4.78,1,0,0,0.0,816,75.64
4.85,1,0,0,0.0,376,76.06
2.56,1,1,0,2.0,262,64.74
3.83,1,1,0,0.0,652,75.48
4.41,1,0,0,0.0,962,92.19
3.01,1,1,1,2.0,588,70.44
4.8,1,0,0,0.0,239,69.62
4.09,0,0,0,0.0,971,56.35
4.77,1,0,0,0.0,254,91.37
3.87,0,1,0,0.0,767,66.47
3.56,1,1,0,0.0,829,65.11
4.4,0,0,0,0.0,989,75.55
4.1,1,1,0,0.0,716,81.93
3.53,0,1,0,0.0,680,48.32
2.48,0,3,0,0.0,461,27.85
2.53,1,2,0,0.0,192,37.02
2.91,0,3,0,0.0,343,29.52
4.18,1,0,0,0.0,665,87.25
3.21,0,1,0,0.0,705,37.72
4.07,1,0,0,1.0,608,91.69
4.09,1,0,0,0.0,803,74.56
2.92,2,3,0,0.0,143,70.54
4.75,1,0,0,0.0,256,90.42
4.41,0,0,1,0.0,749,73.94
4.66,1,0,1,0.0,844,78.44
4.79,1,0,1,0.0,726,88.46
2.83,1,3,0,0.0,739,74.74
4.15,1,0,0,1.0,899,83.48
3.23,1,0,1,2.0,502,72.45
3.81,0,0,1,0.0,807,84.8
4.62,1,0,0,0.0,375,90.53
4.8,2,0,0,0.0,401,85.02
3.85,1,0,0,1.0,869,84.36
3.23,2,0,0,1.0,618,85.16
3.8,2,1,1,0.0,280,87.35
4.44,1,0,1,0.0,358,77.92
3.83,0,0,0,1.0,785,58.37
4.15,2,0,0,1.0,815,79.16
3.44,1,2,0,0.0,662,81.19
3.54,1,0,0,1.0,787,74.65
2.54,2,3,0,0.0,131,74.26
4.1,1,0,0,0.0,459,85.23
4.1,0,0,0,1.0,651,65.58
4.18,1,0,1,0.0,420,75.75
2.94,1,1,0,1.0,790,78.42
4.7,0,0,0,0.0,501,75.83
4.4,1,0,0,0.0,800,88.87
2.92,1,2,1,0.0,154,78.39
3.53,1,1,0,0.0,873,75.51
4.15,2,0,0,0.0,248,74.94
2.56,0,1,0,2.0,591,30.6
2.31,1,1,0,3.0,897,76.53
4.74,1,0,0,0.0,335,68.94
4.74,2,0,0,0.0,151,84.08
3.56,1,2,0,0.0,546,69.61
4.73,0,0,1,0.0,519,73.72
4.73,2,0,0,0.0,850,84.23
3.86,1,0,0,1.0,879,85.81
3.85,1,0,0,1.0,881,81.74
3.55,1,1,1,0.0,632,69.88
4.16,1,0,0,1.0,200,80.04
4.14,1,0,0,0.0,332,80.61
3.88,1,1,0,0.0,976,82.94
3.54,2,1,0,0.0,215,75.58
3.53,1,1,0,1.0,365,81.28
4.78,0,0,0,0.0,607,82.2
1.7,2,2,0,3.0,215,75.44
4.73,0,0,0,0.0,218,68.35
4.76,2,0,0,0.0,697,88.31
2.93,0,2,1,1.0,805,67.8
1.66,1,2,0,2.0,876,41.3
3.57,1,0,0,1.0,900,85.7
4.07,0,0,0,0.0,316,67.46
2.38,0,1,0,2.0,353,28.69
2.78,0,2,0,0.0,127,27.08
3.45,0,2,0,0.0,436,38.15
4.07,1,0,0,0.0,681,72.98
4.09,0,0,0,0.0,530,71.94
3.18,2,0,0,2.0,626,71.72
3.79,1,0,0,1.0,262,68.31
1.97,1,1,0,3.0,359,33.32
4.02,1,0,0,0.0,979,72.98
1.95,1,2,0,1.0,583,43.43
3.39,1,0,0,1.0,963,66.73
2.43,1,3,0,0.0,922,33.66
2.59,2,2,0,0.0,323,64.94
1.27,1,3,0,2.0,368,36.85
4.78,1,0,0,0.0,283,91.24
4.16,2,0,0,1.0,472,74.71
4.16,1,1,0,0.0,263,70.38
4.79,1,0,0,0.0,110,76.0
4.77,1,0,0,0.0,204,89.78
2.87,1,2,0,0.0,123,45.76
4.78,1,0,0,0.0,955,73.04
4.73,0,0,1,0.0,538,75.6
2.6,0,2,0,0.0,274,24.93
4.48,1,0,1,0.0,995,83.43
4.78,1,0,0,0.0,276,69.66
4.14,2,0,1,1.0,539,87.97
2.59,1,2,0,0.0,892,68.93
4.79,1,0,0,0.0,569,71.3
4.79,1,0,0,0.0,868,74.36
3.53,1,1,0,0.0,760,71.87
4.18,1,0,0,0.0,876,91.33
4.18,1,1,0,0.0,411,84.24
1.98,1,3,1,1.0,702,69.51
3.48,1,1,1,0.0,404,90.93
4.19,1,0,1,0.0,214,75.42
3.79,0,0,1,0.0,929,85.99
3.0,1,1,1,2.0,751,77.99
3.53,1,1,0,0.0,549,81.08
4.07,1,0,0,0.0,203,69.05
4.39,0,0,0,0.0,942,66.85
4.16,0,0,0,0.0,452,66.35
3.45,1,1,0,0.0,671,72.27
3.87,2,0,0,0.0,122,66.66
3.87,2,1,1,0.0,791,87.91
4.19,2,1,0,0.0,405,79.3
4.42,0,0,0,0.0,380,80.19
3.85,1,0,1,0.0,504,72.74
4.16,2,1,0,0.0,680,76.76
3.22,0,1,0,1.0,148,35.19
4.72,1,0,0,0.0,230,91.65
3.83,1,0,0,0.0,859,87.93
4.09,0,0,1,1.0,101,85.87
4.7,1,0,1,0.0,318,88.0
3.87,0,1,0,0.0,878,58.99
4.11,1,0,0,0.0,154,83.6
2.9,1,1,0,2.0,436,70.3
3.52,1,1,0,1.0,518,69.58
4.11,1,0,0,0.0,401,83.31
3.82,1,0,0,1.0,535,79.2
4.74,2,0,0,0.0,462,80.29
4.08,1,0,0,0.0,690,84.52
4.17,0,0,1,0.0,469,79.77
4.42,2,0,0,0.0,461,79.88
2.82,1,1,1,1.0,638,82.51
3.8,1,0,0,1.0,520,71.84
3.53,1,1,1,0.0,618,69.04
3.53,2,2,0,0.0,921,66.64
3.83,2,0,0,1.0,844,77.91
4.75,1,0,0,0.0,912,75.16
4.16,1,0,0,0.0,922,89.82
3.48,0,2,0,0.0,788,41.21
4.71,1,0,0,0.0,721,74.32
2.24,1,1,0,3.0,101,43.58
4.39,1,0,1,0.0,271,80.03
4.76,1,0,1,0.0,408,85.22
3.53,1,1,1,1.0,351,69.61
4.73,0,0,0,0.0,286,66.5
4.19,2,1,0,0.0,778,79.44
4.72,1,0,0,0.0,296,75.78
4.15,1,0,0,0.0,115,71.48
3.52,2,0,1,1.0,481,83.98
3.84,2,0,0,1.0,172,69.8
4.77,1,0,0,0.0,147,81.93
2.27,1,3,0,1.0,794,36.3
4.39,0,0,0,0.0,258,77.61
4.12,1,1,0,0.0,796,75.04
2.74,2,2,0,0.0,217,74.38
3.52,0,1,0,0.0,425,38.01
2.92,1,2,0,0.0,276,73.93
4.16,1,1,0,0.0,294,75.46
4.76,1,0,0,0.0,787,72.27
2.61,1,1,0,2.0,489,58.45
2.15,2,1,0,3.0,167,74.95
4.77,1,0,0,0.0,109,78.76
3.55,1,2,0,0.0,310,72.58
3.86,1,1,0,0.0,846,69.9
3.53,1,1,0,0.0,302,81.04
3.23,1,1,0,1.0,613,70.67
3.22,1,1,0,1.0,794,71.44
4.67,2,0,1,0.0,305,95.05
4.18,1,1,1,0.0,154,76.22
4.46,1,0,0,0.0,320,82.96
3.41,0,2,0,0.0,393,30.61
4.15,2,1,0,0.0,308,74.97
3.55,1,2,0,0.0,950,73.66
2.88,1,3,0,0.0,408,65.44
4.18,2,0,0,1.0,596,83.76
4.48,1,0,0,0.0,137,88.32
2.28,1,2,0,2.0,208,35.75
4.42,2,0,0,0.0,271,75.54
1.34,1,2,0,3.0,555,43.32
4.18,1,1,0,0.0,946,82.89
4.71,2,0,0,0.0,679,86.98
3.56,1,1,0,0.0,899,77.64
3.85,0,0,0,1.0,296,62.16
3.55,0,2,0,0.0,838,68.29
4.08,0,0,1,0.0,840,80.78
4.47,0,0,0,0.0,508,73.39
4.18,1,0,1,1.0,445,78.2
4.12,2,0,0,1.0,841,83.56
3.36,1,0,0,1.0,926,61.87
2.82,1,1,0,2.0,415,72.97
3.82,1,0,0,1.0,928,82.02
4.81,1,0,0,0.0,858,72.74
4.8,1,0,0,0.0,984,70.28
4.73,1,0,0,0.0,924,73.87
2.9,1,3,0,0.0,996,58.62
4.43,0,0,0,0.0,465,62.25
3.55,1,0,1,1.0,738,73.2
1.59,0,1,0,3.0,455,30.0
4.4,2,0,0,0.0,671,78.17
2.61,1,2,0,1.0,277,69.57
3.51,1,0,1,1.0,146,67.3
4.74,1,0,0,0.0,325,71.39
4.02,1,0,0,1.0,100,70.51
1.36,1,2,0,3.0,658,33.82
3.21,1,1,0,1.0,401,75.13
2.92,2,2,0,1.0,316,77.96
4.84,2,0,0,0.0,912,89.13
4.17,1,0,0,0.0,441,85.1
3.85,1,0,0,1.0,547,86.27
4.18,0,0,0,1.0,345,79.35
4.09,0,1,0,0.0,169,69.65
2.91,1,0,1,3.0,218,90.48
4.15,2,0,0,1.0,655,79.12
3.56,0,1,1,1.0,417,82.69
1.99,1,2,0,2.0,587,48.55
3.83,1,0,0,0.0,534,72.46
2.29,1,2,0,1.0,829,49.64
3.82,1,0,0,1.0,143,82.18
2.93,2,2,0,1.0,662,76.44
2.83,0,2,0,1.0,162,40.09
3.16,0,0,0,1.0,492,43.83
3.81,2,1,1,0.0,958,88.02
4.0,0,0,1,1.0,460,70.15
4.15,1,1,0,0.0,476,89.59
4.81,0,0,0,0.0,360,69.1
4.06,1,1,0,0.0,217,81.79
4.15,2,1,0,0.0,373,72.39
3.14,1,1,1,1.0,921,70.28
4.76,2,0,0,0.0,835,84.49
4.69,1,0,0,0.0,485,71.46
4.02,0,0,0,1.0,736,67.81
4.11,2,0,0,1.0,686,79.34
3.79,1,1,0,0.0,312,70.22
4.76,2,0,0,0.0,848,84.34
4.41,2,0,0,0.0,701,79.38
4.13,1,1,1,0.0,444,81.68
4.12,2,0,0,1.0,165,79.15
2.87,0,3,0,0.0,126,21.01
4.75,1,0,0,0.0,558,70.06
4.73,1,0,0,0.0,635,71.65
3.52,2,2,1,0.0,258,78.54
4.75,1,0,0,0.0,541,74.0
4.14,1,0,0,1.0,653,86.82
2.91,2,2,1,1.0,143,75.89
3.22,2,1,1,1.0,322,78.43
3.77,2,0,0,0.0,950,70.51
4.73,1,0,1,0.0,495,79.52
3.54,1,1,0,0.0,142,70.8
3.47,0,2,0,0.0,322,31.24
4.76,1,0,0,0.0,928,73.25
3.77,1,0,0,1.0,575,69.78
4.18,1,1,0,0.0,193,81.58
2.89,2,1,0,1.0,466,81.13
4.1,1,1,0,0.0,675,82.2
2.92,1,1,1,2.0,391,87.75
4.75,1,0,0,0.0,310,70.88
2.79,1,3,0,0.0,655,48.35
3.49,1,1,0,1.0,441,71.43
4.1,1,1,0,0.0,621,79.23
1.01,1,3,1,3.0,236,54.48
1.36,1,3,0,1.0,678,36.45
3.53,1,2,1,0.0,780,71.3
3.47,1,2,0,0.0,253,69.32
3.52,1,1,1,0.0,891,71.02
4.17,1,1,1,0.0,190,78.51
4.78,1,0,0,0.0,438,68.31
3.53,1,0,0,2.0,213,75.72
4.47,1,0,1,0.0,590,83.03
4.17,0,1,0,0.0,167,57.18
4.15,1,0,0,1.0,540,83.12
3.88,1,1,1,0.0,689,80.34
4.79,1,0,0,0.0,375,72.77
4.13,1,0,0,0.0,158,72.17
4.81,1,0,1,0.0,696,85.3
2.26,1,3,0,0.0,357,44.97
3.15,0,1,1,1.0,517,77.45
4.23,1,1,0,0.0,437,92.0
4.18,1,1,0,0.0,728,75.16
3.52,1,2,0,0.0,514,82.32
3.51,1,0,1,1.0,781,75.06
3.53,1,1,1,0.0,896,74.04
4.14,1,0,1,1.0,994,87.39
2.9,1,0,0,2.0,934,79.61
4.25,2,1,0,0.0,702,85.07
4.12,0,0,1,0.0,738,77.4
4.75,1,0,0,0.0,750,74.87
4.15,0,0,0,1.0,448,70.37
2.88,1,1,1,2.0,593,80.4
4.16,1,0,0,1.0,373,89.32
3.11,1,1,1,1.0,407,83.19
3.84,0,0,1,1.0,637,79.92
3.77,1,0,0,0.0,604,82.24
2.94,0,2,0,0.0,209,36.49
3.54,1,0,0,1.0,321,82.39
4.16,2,1,0,0.0,318,77.93
2.5,2,3,0,0.0,874,75.4
3.52,2,1,1,0.0,504,88.01
4.5,2,0,0,0.0,420,84.43
1.63,2,2,1,2.0,762,79.57
4.18,2,0,0,0.0,246,79.03
4.75,2,0,1,0.0,495,88.62
2.37,0,3,0,1.0,890,35.65
4.39,1,0,1,0.0,466,78.9
3.2,1,2,0,0.0,410,74.16
4.18,2,1,0,0.0,952,79.75
4.71,0,0,1,0.0,178,70.8
4.77,0,0,0,0.0,220,67.18
3.54,1,2,0,0.0,581,69.08
4.48,1,0,1,0.0,624,84.46
3.08,2,2,0,0.0,572,85.22
4.41,1,0,1,0.0,802,79.71
3.79,1,1,0,0.0,838,79.22
4.73,1,0,1,0.0,592,85.57
4.72,1,0,0,0.0,589,68.68
4.72,2,0,0,0.0,917,83.85
3.85,1,1,0,0.0,498,68.69
4.77,2,0,0,0.0,463,86.35
3.8,1,0,0,1.0,508,81.82
2.9,1,2,1,0.0,855,88.26
4.16,1,1,0,0.0,896,86.99
3.17,1,0,0,1.0,383,68.18
3.8,1,1,0,0.0,248,67.8
2.57,2,3,0,0.0,962,75.86
3.84,2,1,0,0.0,309,74.2
2.61,1,1,0,2.0,772,70.09
4.15,0,0,0,0.0,841,69.49
4.09,1,0,0,0.0,576,70.2
2.89,0,1,0,1.0,430,36.57
4.29,2,0,0,0.0,240,83.27
3.55,1,1,0,0.0,438,74.93
4.16,1,1,0,0.0,458,74.07
3.52,1,0,0,2.0,477,83.7
4.74,1,0,0,0.0,198,93.48
3.56,1,1,0,0.0,254,69.14
2.25,1,1,0,3.0,198,67.69
2.53,1,1,0,2.0,997,65.53
4.15,1,0,0,0.0,415,83.78
3.47,1,1,0,1.0,353,68.39
2.27,2,2,0,1.0,185,78.52
3.52,0,0,0,1.0,427,63.58
4.74,0,0,1,0.0,894,78.49
4.17,1,1,1,0.0,304,74.88
4.79,1,0,0,0.0,414,74.3
3.86,2,1,1,0.0,752,90.87
3.65,2,2,0,0.0,466,77.87
4.17,1,0,0,0.0,284,75.88
2.6,2,2,0,0.0,342,64.84
3.18,2,1,0,1.0,547,89.65
3.56,0,2,0,0.0,910,70.83
3.48,2,2,0,0.0,832,94.21
1.99,1,1,1,3.0,287,78.07
4.4,2,0,0,0.0,603,79.65
4.1,2,0,1,1.0,678,93.48
4.41,1,0,0,0.0,665,80.81
4.75,1,0,0,0.0,826,75.37
4.77,1,0,0,0.0,811,75.75
4.13,1,0,1,0.0,265,76.67
3.5,1,0,1,1.0,122,83.55
4.13,1,0,1,0.0,190,73.85
4.79,1,0,1,0.0,592,89.67
3.59,1,1,0,0.0,811,68.72
4.7,1,0,1,0.0,583,89.48
4.47,1,0,0,0.0,580,86.03
4.77,1,0,0,0.0,102,92.8
4.4,0,0,0,0.0,796,68.4
3.84,2,1,1,0.0,486,85.89
4.77,0,0,0,0.0,115,81.13
4.82,1,0,0,0.0,458,69.77
4.78,1,0,1,0.0,980,91.5
1.91,1,2,0,1.0,820,46.83
3.18,2,2,1,0.0,687,83.57
3.78,2,0,1,1.0,235,91.21
4.12,1,0,0,1.0,766,74.49
3.53,0,2,0,0.0,921,71.16
3.54,1,0,0,2.0,693,78.52
4.15,1,1,1,0.0,968,79.63
4.15,1,0,0,0.0,511,89.07
3.24,1,2,0,0.0,429,78.14
3.2,1,1,0,1.0,809,74.57
2.25,1,3,0,0.0,847,40.3
3.51,2,1,0,0.0,971,71.06
4.13,1,0,1,0.0,801,80.19
3.14,1,2,0,0.0,953,60.38
4.09,1,0,0,0.0,924,86.18
2.93,1,2,1,1.0,203,74.42
3.13,0,1,1,0.0,684,77.7
2.9,2,2,1,0.0,522,72.93
4.77,1,0,0,0.0,622,74.05
1.58,1,3,0,1.0,173,37.5
2.88,1,3,0,0.0,616,57.74
3.53,1,1,0,1.0,178,63.93
4.17,0,1,0,0.0,379,73.69
3.22,1,2,0,0.0,823,74.99
4.78,1,0,0,0.0,527,72.2
4.0,2,1,0,0.0,573,72.16
4.48,1,0,0,0.0,709,82.07
3.44,0,0,0,1.0,648,72.38
4.8,2,0,0,0.0,121,84.77
2.58,1,1,0,2.0,267,62.65
3.53,2,1,0,0.0,651,83.26
2.93,1,2,0,0.0,666,71.2
4.81,2,0,0,0.0,508,82.25
4.11,2,1,0,0.0,656,74.0
3.48,1,1,0,1.0,563,82.17
3.54,2,1,0,0.0,606,81.67
2.89,2,2,1,1.0,193,79.45
3.43,1,2,1,0.0,626,73.13
4.19,0,0,0,1.0,530,75.2
4.15,0,1,0,0.0,361,67.84
4.75,2,0,0,0.0,564,82.93
4.49,1,0,1,0.0,758,83.57
4.1,1,0,0,0.0,184,85.96
3.46,1,1,0,1.0,596,64.65
2.93,1,1,1,2.0,703,68.81
3.52,1,1,0,1.0,824,71.99
4.57,0,0,0,0.0,492,73.38
4.15,1,1,0,0.0,770,85.07
3.49,0,0,0,1.0,261,50.02
2.3,1,1,0,2.0,385,40.77
4.81,0,0,0,0.0,382,81.05
4.73,2,0,0,0.0,305,79.64
4.02,0,0,1,0.0,189,74.31
4.49,0,0,0,0.0,571,72.06
1.93,2,2,0,1.0,476,77.07
2.89,2,3,0,0.0,160,73.75
4.15,1,0,0,0.0,448,87.89
3.16,0,2,0,0.0,453,36.17
4.81,2,0,0,0.0,906,82.39
4.02,1,0,0,1.0,883,86.0
3.47,0,0,0,1.0,985,67.47
4.31,0,0,0,0.0,684,69.98
3.54,1,1,1,0.0,653,71.83
3.52,2,1,1,1.0,335,85.54
3.51,1,2,0,0.0,170,61.2
1.34,0,3,0,1.0,605,9.94
4.14,0,0,0,1.0,952,81.44
3.86,1,1,0,0.0,460,83.6
4.81,1,0,1,0.0,974,89.11
4.11,1,0,1,0.0,853,79.86
4.45,2,0,0,0.0,170,77.26
3.45,2,0,0,1.0,817,71.82
4.79,0,0,0,0.0,591,78.12
4.22,2,0,0,0.0,845,85.44
3.8,2,0,0,0.0,915,73.77
2.17,1,2,0,1.0,242,39.03
3.55,1,2,0,0.0,862,66.7
2.92,1,3,1,0.0,433,79.79
4.16,0,0,0,0.0,494,63.75
3.55,1,1,0,0.0,563,73.88
4.12,0,0,0,1.0,477,65.0
1.88,2,2,0,1.0,633,64.52
3.45,1,1,0,0.0,946,76.39
4.09,0,0,0,1.0,927,71.9
4.8,1,0,0,0.0,232,72.63
3.8,1,0,1,0.0,507,74.56
4.4,1,0,0,0.0,528,84.84
4.72,2,0,0,0.0,324,81.94
3.81,2,0,0,0.0,405,68.59
3.41,1,1,0,0.0,514,67.62
3.52,1,2,0,0.0,301,65.41
4.47,1,0,0,0.0,228,73.85
3.45,2,1,0,1.0,857,71.92
3.52,2,0,0,1.0,636,70.56
2.29,0,1,0,3.0,264,32.23
2.62,0,1,0,2.0,656,40.75
2.9,1,1,0,1.0,534,65.04
4.13,1,0,0,0.0,881,86.2
4.11,1,0,0,0.0,553,76.86
4.1,0,0,0,0.0,903,71.46
4.12,1,0,0,1.0,971,83.77
4.15,0,1,0,0.0,586,61.76
3.19,0,0,0,2.0,376,41.04
4.11,2,0,0,1.0,409,76.61
2.26,2,3,0,1.0,436,65.87
4.04,0,0,0,0.0,385,61.86
3.53,2,1,0,0.0,496,91.11
2.9,1,2,0,0.0,535,74.08
2.57,0,0,0,3.0,143,39.46
